volume,nr_RG,text
2,3412,"Hildesleve
ecclesia monasterii ordinis sancti Benedicti Halberstadensis diocesis: indulgentia ad instar ecclesie sancti Marci de Venetiis 18 mart. 1401 L 90 79v."
2,3604,"Idelenstede
capella beate Marie Halberstadensis diocesis: indulgentia 17 apr. 1401 L 88 157."
2,5209,"Issleve
opidum Halberstadensis diocesis altare sancte Trinitatis beate Marie et trium regum necnon beatorum XII apostolorum ac X milium martirum et sanctorum Sebastiani et Crispini in parrochiali ecclesia sancti Andree: indulgentia 21 dec. 1400 L 90 273.
confraternitas fratrum kalendarum: confirmatio 1 aug. 1401 R 307v."
2,5321,"Lynpuhel
capella beate Marie Nuemburgensis diocesis: indulgentia 28 febr. 1402 L 100 202."
2,5329,"Lovenborch
parrochialis ecclesia opidi Razeburgensis diocesis: indulgentia 20 febr. 1391 L 17 144."
2,5332,"Luban
opidum Misnensis diocesis parrochialis ecclesia sancte Marie: indulgentia 1 mart. 1402 L 100 266.
ecclesia monasterii monialium sancte Marie Magdalene ordinis sancti Augustini: indulgentia 31 iul. 1402 L 104 223v."
2,5439,"Madela
parrochialis ecclesia sancti Martini Misnensis diocesis: indulgentia 17 mai. 1401 L 89 127v."
2,5443,"Magnasalme
opidum Magdeburgensis diocesis ecclesia sancti Johannis baptiste que est subiecta parrochiali ecclesie in Esterhusin: indulgentia 28 dec. 1401 L 100 115."
2,5697,"Muchele
parrochialis ecclesia sancti Michaelis Halberstadensis diocesis: indulgentia 10 dec. 1391 L 24 242v."
2,5711,"Netekendorp
villa Brandenburgensis diocesis capella sanctorum Jacobi et Dorothee ac Brigide de Suecia: indulgentia 25 aug. 1401 L 94 167."
2,6133,"Novacella
abbas etc. monasterii ordinis Cisterciensis Misnensis diocesis: mandatum committendi marchioni Moravie et duci Saganensi discussionem super concordia inter dictum monasterium et monasterium Lubense dicti ordinis Wratislaviensis diocesis de possessionibus in finibus marchionatus et ducatus facta 14 oct. 1401 L 91 95.
abbas etc. monasterii ordinis Cisterciensis Misnensis diocesis: indulgentia 17 ian. 1402 L 100 260.
abbas etc. monasterii ordinis Cisterciensis Misnensis diocesis: incorporatio parrochialium ecclesiarum in Fortinberg et in Besecow et in Funfechin et in Welmenitz dicte diocesis 18 ian. 1402 L 104 91v."
2,6177,"Osterborkch
opidum Halberstadensis diocesis capella sancti Georgii fundata a Giselberto Dobberkow decretorum doctore: indulgentia 28 oct. 1393 L 27 178.
opidum Halberstadensis diocesis capella sancti Georgii fundata a Giselberto Dobberkow decretorum doctore: indulgentia 7 mai. 1400 L 79 33.
altare sancti Johannis baptiste in ecclesia sancti Nicolai: mandatum, quod Johannes Schymming rector dicti altaris eiusque successores solvant annuatim 2 marchas argenti ad sustentationem monasterii in Crevese ordinis sancti Benedicti Verdensis diocesis altare ab Henrico de Soltwedel alias dicto Schymming preposito de bonis dicti monasterii est fundatum 22 mart. 1403 L 109 97."
2,6248,"Parchem
parrochialis ecclesia Zwerinensis diocesis: indulgentia ad instar ecclesie sancte Marie in Portiuncula 8 iun. 1401 L 88 132."
2,6985,"Temptzin
capella domus sancti Antonii ordinis sancti Augustini Zwerinensis diocesis: indulgentia 19 ian. 1399 L 71 57.
capella domus sancti Antonii ordinis sancti Augustini Zwerinensis diocesis: indulgentia ad instar ecclesie sancti Marci de Venetiis 13 apr. 1400 L 80 147."
2,7272,"Treptowe
antiquum opidum Brandenburgensis diocesis capella Closterberche extra muros: indulgentia ad instar ecclesie sancte Marie de Portiuncula 9 apr. 1400 L 79 1."
2,7276,"Tribuzes
capella sancti Georgii Zwerinensis diocesis: indulgentia ad instar ecclesie sancte Marie Magdalene in Dusseldorpe et ecclesie Aquilegensis 24 mai. 1401 L 94 223."
2,7448,"Welpesholt
capella beate Marie Halberstadensis diocesis: indulgentia ad instar ecclesie sancte Marie in Portiuncula 7 iul. 1401 L 94 199."
2,7530,"Veteriscelle
monasterium sancte Marie Cisterciensis ordinis Misnensis diocesis: indulgentia 3 febr. 1392 L 25 202v."
2,7567,"Villabuken
parrochialis ecclesia beate Marie Razeburgensis diocesis: indulgentia 20 febr. 1391 L 12 212v."
2,7568,"Wilsnack
parrochialis ecclesia Corporis Christi Havelbergensis diocesis: indulgentia 25 iul. 1393 L 28 97."
2,7601,"Wittenberg
opidum Brandenburgensis diocesis ecclesia capella omnium Sanctorum nuncupata: indulgentia 19 iul. 1398 L 52 35."
2,7645,"Czedink
capella Corporis Christi Brandenburgensis diocesis: indulgentia ad instar ecclesie monasterii in Regali Lutter Halberstadensis diocesis 8 apr. 1401 L 87 126.
capella Corporis Christi Brandenburgensis diocesis: indulgentia ad instar ecclesie sancti Marci de Venetiis 17 apr. 1401 L 89 59."
2,7829,"Dresden
opidum Misnensis diocesis: indulgentia pro ecclesia in area a Wilhelmo marchione Misnensi donata per priorem provincialem etc. ordinis heremitarum sancti Augustini construenda 24 oct. 1405 L 123 272."
3,171,"Czwickow
capella hospitalis sancti Georgii extra muros opidi Nuemburgensis diocesis: de indulgentia 17 sept. 1409 L 136 103v."
3,228,"Aldenburg
ecclesia beate Marie castri Romane ecclesie immediate subiecta: de indulgentia 14 febr. 1414 L 185 278v. .
capella sancti Georgii in castro Nuemburgensis diocesis: de indulgentia 22 oct. 1411 L 158 142v."
3,535,"Kothebus
parrochialis ecclesia sancti Nicolai Misnensis diocesis: de indulgentia 24 iun. 1410 L 147 162v."
3,556,"Dobelin
parrochialis ecclesia sancti Nicolai Misnensis diocesis: de indulgentia 7 iul. 1413 L 173 205v."
3,1008,"Hertzeberg
capella Corporis Jesu Christi Misnensis diocesis: de indulgentia 12 ian. 1415 L 185 52v."
3,1629,"Monsboldensberg
capella beate Marie Virginis Brandenburgensis diocesis: de indulgentia 17 oct. 1411 L 153 29v."
3,1969,"Stendal ecclesia sancti Nicolai Halberstadensis diocesis
de indulgentia 10 sept. 1411 L 158 106v."
3,1990,"Tangermunde
ecclesia sanctorum Johannis baptiste et Johannis evangeliste in castro Halberstadensis diocesis: conservatoria 29 mai. 1411 L 159 118.
ecclesia sanctorum Johannis baptiste et Johannis evangeliste in castro Halberstadensis diocesis: de dispensatione a statutis super residentia 8 nov. 1414 L 175 171v.
ecclesia sanctorum Johannis baptiste et Johannis evangeliste in castro Halberstadensis diocesis: que Carolus Romanorum et Bohemie rex in collegiatam ecclesiam fecerat constitui, cum parrochiali ecclesia sancti Stephani in suburbiis dicti castri in ipsa incorporata ac parrochiali ecclesia in Bretzen Brandenburgensis diocesis ad ipsam spectante: de exemtione a iurisdictione ordinaria cum reservatione iuris patronatus super prepositura pro marchione Brandenburgensi ac iuris instituendi prepositum et canonicos ac Visitationis pro decano ecclesie sancti Nicolai in Stendal Halberstadensis diocesis 5 ian. 1415 L 175 45v.
ecclesia sanctorum Johannis baptiste et Johannis evangeliste in castro Halberstadensis diocesis: mandatum supplicante Sigismundo Romanorum et Vngarie rege incorporationis maioris prebende ecclesie sancti Nicolai in Stendal Halberstadensis diocesis, non obstantibus statutis ecclesie dicte 5 ian. 1415 L 175 44v.
ecclesia sanctorum Johannis baptiste et Johannis evangeliste in castro Halberstadensis diocesis: de indulgentia 5 ian. 1415 L 185 260."
3,2188,"Wittenberg
ecclesia Omniumsanctorum Brandenburgensis diocesis: de indulgentia 17 oct. 11 L 153 30, 12 ian. 1415 L 185 53."
3,2195,"Wlfelbuttel
capella sancti Longini prope castrum Halberstadensis diocesis: de indulgentia 25 iul. 1414 L 185 105."
4,277,"Aldenburg
ecclesia sancti Georgii in castro Aldenburg Nuemburgensis diocesis in collegiatam erecta: indulgentia 8 iul. 1423 I 112 308v.
capitulum ecclesie sancti Georgii Nuemburgensis diocesis: conservatoria 17 iul. 1423 V 358 83r.
capitulum ecclesie sancti Georgii Nuemburgensis diocesis: reformatio 17 iul. 1423 S 169 264v.
magistra etc. monasterii in Aldenburg ordinis Premonstratensis Treverensis diocesis: reformatio super parrochiali ecclesia in Biele Treverensis diocesis 24 febr. 1424 S 174 260r."
4,1168,"Besekow
parrochialis ecclesia beate Marie opidi Besekow Misnensis diocesis: de indulgentia 20 ian. 1429 S 235 78r, L 286 140r."
4,1253,"Burghartzwalde
parrochialis ecclesia Misnensis diocesis : de indulgentia 15 dec. 1429 S 249 246v."
4,1307,"Busso de Vicedominis miles ambassiator Wilhelmi lantgravii Thuringie ac marchionis Misnensis
de indulgentia pro parrochiali ecclesia in Rosla Maguntine diocesis; de canonicatu sub expectatione prebende Nuemburgensis necnon sancti Severi Erfordensis pro Henrico Vitztumi clerico Maguntine diocesis ex utroque de militari genere; de beneficio s. e. p. pro Frederico Clepe presbytero plebano in Rosla Maguntine diocesis; de beneficio s. e. p. pro Thoma de Tzwickow clerico Merseburgensis diocesis 30 ian. 1418 S 115 170r."
4,1309,"Caldenborne
monasterium sancti Johannis evangeliste canonicorum regularium Halberstadensis diocesis : de indulgentia 24 mai. 1421 S 152 187v."
4,1318,"Canewitz
capella beate Catherine Misnensis diocesis : indulgentia 24 mai. 1421 L 212 260v."
4,1399,"Catherina marchionissa Misnensis
de indulgentia pro altari beate Marie, conceptionis Anne, Andree apostoli ac omnium Sanctorum in capella castri Culditz Misnensis diocesis ab ipsa fundato 11 dec. 1421 S 158 182r."
4,1415,"Keentze
capella beate Marie virginis infra limites parrochialis ecclesie in Baard Zwerinensis diocesis : indulgentia 31 mai. 1418 L 195 112r."
4,1421,"Kempnic
parrochialis ecclesia sancti Jacobi Misnensis diocesis : indulgentia 3 dec. 1421 L 222 217v."
4,2363,"Dobelin
parrochialis ecclesia sancti Nicolai Misnensis diocesis : de indulgentia 29 nov. 1424 S 182 54v."
4,2521,"Ebrstorff
parrochialis ecclesia beate Marie virginis Misnensis diocesis : indulgentia 4 mai. 1426 L 263 320r."
4,2962,"Vredeland
capella beate Marie virginis in cimiterio parrochialis ecclesie opidi Havelbergensis diocesis: de indulgentia 8 nov. 1419 S 134 43.
capella beate Marie virginis in cimiterio parrochialis ecclesie opidi Havelbergensis diocesis: de indulgentia 6 iun. 20 S 145 25v, 8 iul. 1420 L 208 222v.
fraternitas sacerdotum et scolarium sancti Gregorii : de indulgentia 8 nov. 1419 S 134 43."
4,2980,"Fridericus marchio Brandenburgensis elector ac burggravius Nurembergensis
de insigniis pontificalibus pro abbate monasterii Fontissalutis ordinis Cisterciensis Eistetensis diocesis; de insigniis pontificalibus pro abbate monasterii in Wallerbach ordinis Cisterciensis Ratisbonensis diocesis; de licentia benedicendi res sacras pro abbate monasterii in Wiltzburg ordinis sancti Benedicti Eistetensis diocesis; de remissione plenaria pro abbatibus et monachis supradictorum monasteriorum 20 dec. 1417 S 108 47.
de licentia divina resumendi post expulsionem excommunicatorum pro consulibus etc. Novecivitatis Brandenburgensis; de indulgentia pro parrochiali ecclesia sanctarum Katherine et Amalberge Novecivitatis predicte; de indulgentia pro altari corporis Christi in parrochiali ecclesia predicta; de indulgentia pro capella sancti Urbani et sancti Spiritus penes portam Novecivitatis predicte 21 apr. 1418 S 110 285.
de indulgentia pro parrochiali ecclesia in Schwobuch Eistetensis diocesis; de indulgentia pro hospitali pauperum dicti opidi; de indulgentia pro parrochiali ecclesia sancti Ulrici in villa Blauelden Herbipolensis diocesis; de indulgentia pro parrochiali ecclesia in Kreulssheim Herbipolensis diocesis 21 apr. 1418 S 110 287v.
de indulgentia pro parrochiali ecclesia in Langentzem Herbipolensis diocesis 21 apr. 1418 S 112 8v.
de confirmatione privilegiorum; de esu carnium pro Agneta sorore sua abbatissa etc. monasterii curie Regnitz ordinis sancte Clare Bambergensis diocesis 21 apr. 1418 S 112 20.
de confessionali; interdicto; licentia sacramentum eucharistie ministrandi pro quolibet sacerdote ab ipso electo 27 mai. 1418 S 112 118.
de indulgentia pro monasterio in Langentzeim Herbipolensis diocesis 29 mai. 1418 S 118 253v.
de licentia intrandi in monasterium monialium curie Regnitz ordinis sancte Clare Bambergensis diocesis cuius abbatissa soror existit; de remissione plenaria pro Agnete abbatissa; de licentia commutandi ieiunium pro Elizabeth uxore sua; de mortis articulo pro Adelheid abbatissa monasterii Coroneceli ordinis Cisterciensis Bambergensis diocesis 20 dec. 1421 S 159 7v.
reformatio concessionis ingrediendi monasterium monialium curie Regnitz ordinis sancte Clare Bambergensis diocesis 20 dec. 1421 S 160 61v.
PK n. 112/114.
de erectione capelle in villa Werd prope opidum Nuremburg Bambergensis diocesis et sub parrochiali ecclesia sancti Sebaldi dicti opidi in parrochialem ecclesiam 25 nov. 1423 S 172 62v.
de licentia eligendi confessorem pro se et familia; altari portatili; interdicto; ante diem; licentia requirendi rectores ecclesiarum sui patronatus ad residentiam; de confirmatione emptionis feudorum in partibus Franconie Bavarie et Suevie ab Oswaldo comite de Truhending cum iuribus pres.; de confirmatione privilegiorum concessorum ab Augustino priori generali ordinis fratrum heremitarum sancti Augustini conventui in Kulmach dicti ordinis Bambergensis diocesis 25 ian. 1424 S 174 37.
de fructibus in absentia pro 4 familiaribus 25 iul. 1425 S 188 253v.
de commissione materie dissensionis inter rectorem parrochialis ecclesie sancti Sebaldi Nurenburgensis Bambergensis diocesis et communitatem ville Werd novo episcopo Bambergensi 25 iul. 1425 S 188 253v.
et proconsules etc. opidi Nouwen. ? Brandenburgensis diocesis: conf. remissionem debitorum et exemtionem ab omnibus contributionibus ad decennium per dictum Fridericum concessam 23 iun. 1426 L 263 88.
et Elizabeth uxor: remissio plenaria 17 mart. 1428 L 280 258.
de confirmatione indulti concessi per H. cardinalem sancti Eusebii legatum domo ordinis fratrum minorum Brandenburgensi super electione vicarii etc. 30 apr. 1428 S 225 262v.
et Johannes eius natus: de altari portatili, ante diem et interdicto pro Johanne; de lacticiniis pro Johanne et familia; de confessionali pro Johanne et conthorali; de licentia celebrandi statim post recessum excommunicatorum pro Vetericivitate Brandenburgensi 30 dec. 1429 S 258 217.
de dispensatione super ieiunio et abstinentia; de lacticiniis; de licentia eligendi confessorem 16 mart. 1430 S 254 211."
4,3100,"Fridericus senior marchio Misnensis
de confirmatione privilegii de non evocando 7 maii 1418 S 112 162.
lantgravius Thuringie et marchio Misnensis etc. et Katherina uxor: de remissione plenaria; altari portatili; interdicto; ante diem; confessionali; lacticiniis etiam pro subditis; esu carnium pro monachis ordinis Cisterciensis ipsos visitantibus 7 maii 1418 S 112 162.
licentia celebrandi post ingressum suum ad loca interdicta 22 decembris 1420 L 212 137v.
de confirmatione statutorum super canonicatibus et prebendis Nuemburgensibus, Misnensibus, ecclesie sanctorum Petri et Pauli Cytzensis Nuemburgensis diocesis obtinendis a personis universitatis studii Liptzensis Merseburgensis diocesis; de concessione iuris patronatus omnium canonicatuum et prebendarum ad partem iam tenet ecclesie Misnensis; interdictum 22 decembris 1420 S 150 101.
de non evocando pro subditis 6 ianuarii 1421 S 150 120.
statuitur ut duo canonicatus et maiores prebende Merseburgenses presentatis per rectorem etc. studii Liptzensis conferantur 20 ianuarii 1421 L 212 135v.
de concessione iuris patronatus etiam ad alios 8 canonicatus et prebendas Misnenses; licentia ut capellanus suus coram se missam celebrare possit ubicumque sine licentia alicuius 9 martii 1421 S 151 21v.
de indulgentia pro parochiali ecclesia in opido Mitteweydis Misnensis diocesis; pro parochiali ecclesia sancti Jacobi in opido Kempnicensi dicte diocesis; pro ecclesia beate Marie virginis extra opidum Githan Merseburgensis diocesis; mortis articulo pro Henrico Lukaw vicario in castro Aldenburg Nuemburgensis diocesis 3 decembris 1421 S 158 73.
reformatio supplicationis de non evocando 11 decembris 1421 S 158 80v, L 222 194.
reformatio supplicationis 23 decembris 1421 S 158 197v, super collatione benef. ecclesie Misnensis L 222 198.
conceditur facultas presentandi ad canonicatum et prebendam primo vacaturos in ecclesia opidi Gothensis Magunt. diocesis 10 augusti 1423 L 233 200.
dux Saxonie archimarscallus et elector imperii: de licentia super esu carnium pro religiosis in sua mensa 10 septembris 1423 S 170 95.
de non promovendo ad ordines pro medico suo Johanne Ade de Mobertingen rectore parochialis ecclesie in Herbesleben Magunt. diocesis magistro in artibus et medicina 4 aprilis 1424 S 177 38v.
de indulgentia pro parochiali ecclesia beate Marie virginis in Ebirstorff Misnensis diocesis 18 maii 1425 S 192 207."
4,3683,"Githan
parochialis ecclesia beate Marie extra muros opidi Merseburgensis diocesis: indulgentia 3 decembris 1421 L 222 153."
4,3705,"Godebusse
hospitale sancti Spiritus opidi Razeburgensis diocesis: de indulgentia 3 ianuarii 1420 S 136 194.
hospitale sancti Spiritus opidi Razeburgensis diocesis: hospitalia sancti Spiritus et sancti Nicolai ac sancte Margarethe: de indulgentia 29 ianuarii 1420 S 138 153v."
4,3706,"Golme
capella beate Marie virginis in heremo Golme Brandenburgensis diocesis: indulgentia 12 decembris 1428 L 286 7v."
4,3877,"Gronhagen
abbas etc. monasterii sancti Nicolai ordinis Cisterciensis Nuemburgensis diocesis: de indulgentia 8 iulii 1426 S 199 256v."
4,5597,"Hermannus abbas monasterii beate Marie Pozauiensis Nuemburgensis diocesis
de indulgentia 15 maii 1419 S 125 79v."
4,5759,"Hoddendorpe
capella beate Marie ville H. Halberstadensis diocesis que est unita monasterio monialium in Niendorpe ordinis Cisterciensis : indulgentia 18 octobris 1429 L 285 296v."
4,5813,"Hugoldus de Slinitz Slynitz miles Misnensis
de indulgentia pro parochiali ecclesia in Luben in suo dominio Misnensis diocesis 15 maii 1419 S 125 80.
ante diem 23 iulii 1422 L 237 156v."
